sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
372,assam,2021,3,Merchant payments,7431371,8208706348
373,assam,2021,3,Financial Services,39479,43889820.5
374,assam,2021,3,Others,131732,67715045.34
375,assam,2021,4,Peer-to-peer payments,21393962,86801625127
376,assam,2021,4,Merchant payments,12895755,13378765006
377,assam,2021,4,Recharge & bill payments,11484376,3842004488
378,assam,2021,4,Financial Services,60724,65456475.83
379,assam,2021,4,Others,185544,97116796.58
380,assam,2022,1,Peer-to-peer payments,27156085,1.08855E+11
381,assam,2022,1,Merchant payments,19011883,18833132506
382,assam,2022,1,Recharge & bill payments,12474674,4424035840
383,assam,2022,1,Financial Services,68432,73257991.39
384,assam,2022,1,Others,178812,94659207.47
385,assam,2022,2,Peer-to-peer payments,33879530,1.2383E+11
386,assam,2022,2,Merchant payments,28377534,24333260090
387,assam,2022,2,Recharge & bill payments,13858113,4814695680
388,assam,2022,2,Financial Services,50785,55549153.74
389,assam,2022,2,Others,168763,77624058.02
390,assam,2022,3,Peer-to-peer payments,37000266,1.27265E+11
391,assam,2022,3,Merchant payments,34935460,28789992307
392,assam,2022,3,Recharge & bill payments,13974568,5295136932
393,assam,2022,3,Financial Services,65066,62882386.46
394,assam,2022,3,Others,138451,76363577.27
395,assam,2022,4,Peer-to-peer payments,44828832,1.50693E+11
396,assam,2022,4,Merchant payments,43605784,36033810142
397,assam,2022,4,Recharge & bill payments,15344794,5773980885
398,assam,2022,4,Financial Services,74414,75960367.92
399,assam,2022,4,Others,127443,76370123.6
400,bihar,2018,1,Recharge & bill payments,3159922,375559206.8
401,bihar,2018,1,Peer-to-peer payments,2052089,5295346761
402,bihar,2018,1,Financial Services,194295,33999413.88
403,bihar,2018,1,Merchant payments,138885,139827755.7
404,bihar,2018,1,Others,279111,201025034.2
405,bihar,2018,2,Recharge & bill payments,4346849,700649777.1
406,bihar,2018,2,Peer-to-peer payments,3447898,12141448845
407,bihar,2018,2,Merchant payments,311487,318571872.8
408,bihar,2018,2,Financial Services,267433,45332532.1
409,bihar,2018,2,Others,258711,300128082.6
410,bihar,2018,3,Peer-to-peer payments,8893764,18695889188
411,bihar,2018,3,Recharge & bill payments,4401439,804061398.5
412,bihar,2018,3,Merchant payments,586862,367608510.7
413,bihar,2018,3,Financial Services,274510,33276460.45
414,bihar,2018,3,Others,211229,234968821.3
415,bihar,2018,4,Peer-to-peer payments,8094296,26224303883
416,bihar,2018,4,Recharge & bill payments,5469096,986310785
417,bihar,2018,4,Merchant payments,1680664,848968693.1
418,bihar,2018,4,Financial Services,237247,36199427.51
419,bihar,2018,4,Others,251098,302214380.2
420,bihar,2019,1,Peer-to-peer payments,16807040,38824078062
421,bihar,2019,1,Recharge & bill payments,7036367,1333688183
422,bihar,2019,1,Merchant payments,2055267,1024997000
423,bihar,2019,1,Financial Services,204689,28599535.73
424,bihar,2019,1,Others,252871,291464734.4
425,bihar,2019,2,Peer-to-peer payments,15837449,58381285241
426,bihar,2019,2,Recharge & bill payments,9279442,1996804238
427,bihar,2019,2,Merchant payments,4365465,2308145850
428,bihar,2019,2,Financial Services,129603,63338108.54
